Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,29.61343,29.76924,29.30379,26.95045,31.25299,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,20.48239,20.64585,20.52567,15.96633,22.22408,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,38.26184,38.43807,37.09632,37.40593,39.82857,..,..
Afghanistan,AFG,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,58.72444,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,10649284,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,6253732,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,44.82913,47.76968,49.31489,51.08715,55.24946,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,32.0601,35.34918,36.71935,37.88329,40.75152,..,..
Afghanistan,AFG,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,57.01987,59.60836,61.22446,63.61587,68.98955,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,4395552,..,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,86.81675,88.24009,90.952,97.16724,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,85.18038,85.88065,88.28107,93.89332,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,68.97873,73.08708,73.01645,73.18574,75.39207,73.39688,..
Albania,ALB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,85.95611,86.99052,89.53195,95.41897,97.59204,97.79873,97.65542,97.77841,97.44221,..
Albania,ALB,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,70.87778,74.07614,73.96367,74.97256,77.88222,76.67418,..
Albania,ALB,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,67.23118,72.16152,72.11786,71.48489,73.06998,70.41397,..
Albania,ALB,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,74.26078,73.08678,81.15701,81.98912,81.0194,80.07717,79.78615,87.00146,..,..
Albania,ALB,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,76.38597,73.71091,82.34432,82.45011,81.85255,80.13712,81.52491,87.07213,..,..
Albania,ALB,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,72.31411,72.52075,80.07976,81.57,80.26007,80.02237,78.19279,86.9366,..,..
Albania,ALB,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,68.59749,70.19484,..,..,..,..,..,..,..
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,72573,64047,..,..,..,..,..,..,..
Albania,ALB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,49783,44958,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,86.74185,87.94369,89.59661,87.91844,87.29131,89.61851,..
Albania,ALB,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,87.3952,88.53513,90.9556,89.35984,89.58813,92.6897,..
Albania,ALB,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,86.13979,87.40321,88.37255,86.63976,85.28714,86.96332,..
Albania,ALB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,22790,19089,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,98.92068,99.08721,..,..,..,..,..,99.48537,99.6475,..
Algeria,DZA,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,98.81233,99.19621,..,99.24821,99.17248,99.44809,99.08376,99.5168,..,..
Algeria,DZA,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,97.57526,98.3593,..,98.4753,98.34506,98.91553,98.14319,99.01359,..,..
Algeria,DZA,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,100,100,..,99.9911,99.96764,99.95974,99.98719,100,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,74.64644,71.48141,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,89.26408,91.84197,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,3.07786,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,81.90919,81.59927,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,2.16303,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,4.00741,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,57.06788,56.71547,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,50.26238,49.46213,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,64.01393,64.10617,..,..,..,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,71.3096,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,4795923,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,3419954,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,5.54083,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,5.95683,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,5.11874,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,1375969,..,..,..,..,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,95.04599,..,93.81726,98.43915,..,98.69226,..,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,94.70564,..,93.65341,96.84991,..,96.43519,..,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,44.8565,..,49.94964,..,44.51634,47.42503,..,57.04607,59.82019,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,96.3281,95.97518,94.87391,..,93.73436,97.63492,..,97.55055,99.3101,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,52.29435,..,56.13273,..,48.79322,52.33706,..,67.07819,69.09091,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,37.42369,..,43.82749,..,40.30809,42.60813,..,47.25569,50.75239,..
Antigua and Barbuda,ATG,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,65.7879,62.23565,56.7337,..,80.79061,85.58111,..,74.60913,..,..
Antigua and Barbuda,ATG,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,60.69295,57.95181,55.46117,..,78.9864,81.67082,..,75.75377,..,..
Antigua and Barbuda,ATG,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,70.91346,66.54545,58.01714,..,82.59259,89.46716,..,73.47447,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,..,..,..,..,28.79544,..,..,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,801,..,..,..,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,..,..,..,..,231,..,..,..,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,71.36578,..,69.51075,..,78.56271,88.837,..,85.58921,89.9353,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,74.99093,..,82.53968,..,82.02363,93.47531,..,83.88331,90.84746,..
Antigua and Barbuda,ATG,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,67.75978,..,56.61077,..,75.17094,84.29537,..,87.25995,89.04175,..
Antigua and Barbuda,ATG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,..,..,..,..,570,..,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,83.64755,83.05292,83.98525,82.81085,82.4696,82.84784,83.31571,83.68517,..,..
Arab World,ARB,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,88.23203,87.4981,86.83969,85.35285,84.63594,85.08741,85.21686,85.59033,..,..
Arab World,ARB,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,85.98874,85.32306,85.44307,84.10924,83.57629,83.99204,84.2871,84.65867,..,..
Arab World,ARB,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,76.23239,76.29261,75.8512,75.74352,76.42763,76.69848,77.04927,77.51368,..,..
Arab World,ARB,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,74.16918,75.14439,75.61017,75.585,76.37362,76.76331,77.08544,77.56797,..,..
Arab World,ARB,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,76.39815,77.39302,76.08291,75.89644,76.48071,76.63808,77.01649,77.4634,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,62.74802,62.9171,63.04786,63.10032,63.07655,63.08152,63.01405,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,71672021,69255374,68021957,68455307,68625594,68972599,69284439,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,44972775,43573470,42886391,43195518,43286658,43508964,43658930,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,26699246,25681904,25135567,25259789,25338936,25463635,25625510,..,..,..
Argentina,ARG,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,54.92954,56.85048,59.12597,60.95112,62.00046,63.8713,65.54071,66.48466,..,..
Argentina,ARG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,99.13102,99.21521,99.26778,99.44548,99.7727,99.83682,99.4496,99.48052,..,..
Argentina,ARG,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,60.18591,62.1495,64.54625,65.98739,66.81065,68.41707,70.41521,71.2889,..,..
Argentina,ARG,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,49.83089,51.7135,53.87454,56.07557,57.34768,59.47746,60.82831,61.83999,..,..
Argentina,ARG,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,98.23015,98.45321,97.58781,97.41136,99.066,99.39332,99.22568,..,..,..
Argentina,ARG,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,97.54578,97.79963,96.931,96.91472,98.87587,99.24305,98.93279,..,..,..
Argentina,ARG,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,98.89122,99.08463,98.22241,97.89123,99.2497,99.53849,99.50866,..,..,..
Argentina,ARG,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,53.13577,58.16722,52.05966,53.5829,54.91855,49.87558,50.61785,..,..,..
Argentina,ARG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,319119,275448,280312,278225,322530,266467,287624,..,..,..
Argentina,ARG,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,169566,160220,145929,149081,177129,132902,145589,..,..,..
Argentina,ARG,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,83.29285,84.07515,85.77984,87.07002,88.81783,90.08953,91.59349,92.66359,..,..
Argentina,ARG,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,85.07386,86.15459,86.97792,87.90108,89.34542,90.48331,91.78547,92.85635,..,..
Argentina,ARG,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,81.57098,82.06561,84.62249,86.26747,88.30845,89.70942,91.40816,92.47751,..,..
Argentina,ARG,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,149553,115228,134383,129144,145401,133565,142035,..,..,..
Armenia,ARM,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,95.76167,96.88121,96.94188,94.47563,93.62911,92.76478,92.26242,90.65059,..
Armenia,ARM,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,94.63208,96.00639,96.28129,93.82384,92.51376,92.26444,92.3595,91.01168,..
Armenia,ARM,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,82.53989,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,..,95.15386,96.41176,96.5881,94.12688,93.03258,92.49744,92.31421,90.843,..
Armenia,ARM,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,83.35489,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,81.72463,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,..,93.34709,99.72928,86.54475,90.18091,88.66083,91.9669,91.0927,..,..
Armenia,ARM,"Adjusted net intake rate to Grade 1 of primary education, female (%)",UIS.NIRA.1.F,..,91.89997,99.41796,86.21424,89.90617,87.83813,91.08916,90.35025,..,..
Armenia,ARM,"Adjusted net intake rate to Grade 1 of primary education, male (%)",UIS.NIRA.1.M,..,94.59759,100,86.83299,90.42079,89.37987,92.7361,91.74486,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, % female",UIS.LPP.AG15T99,..,65.9562,..,..,..,..,..,..,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,5963,..,..,..,..,..,..,..,..
Armenia,ARM,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,..,3933,..,..,..,..,..,..,..,..
Armenia,ARM,"Adjusted net enrolment rate, lower secondary, both sexes (%)",UIS.NERA.2,97.51619,..,..,..,..,..,91.14135,90.67323,89.96877,..
Armenia,ARM,"Adjusted net enrolment rate, lower secondary, female (%)",UIS.NERA.2.F,97.47567,..,..,..,..,..,92.09409,91.60348,90.69323,..
Armenia,ARM,"Adjusted net enrolment rate, lower secondary, male (%)",UIS.NERA.2.M,97.55286,..,..,..,..,..,90.32116,89.86901,89.34033,..
Armenia,ARM,"Adult illiterate population, 15+ years, male (number)",UIS.LP.AG15T99.M,..,2030,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, primary, female (%)",SE.PRM.TENR.FE,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, primary, male (%)",SE.PRM.TENR.MA,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, upper secondary, both sexes (%)",UIS.NERA.3,..,58.26257,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,98.91975,..,..,..,99.29199,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, upper secondary, female (%)",UIS.NERA.3.F,..,64.78747,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net enrolment rate, upper secondary, male (%)",UIS.NERA.3.M,..,52.07803,..,..,..,..,..,..,..,..
Aruba,ABW,"Adjusted net intake rate to Grade 1 of primary education, both sexes (%)",UIS.NIRA.1,96.96532,..,..,..,..,..,..,..,..,..
